Lemma,URL,Wortart,Genus,Artikel,nur_im_Plural
doppelt,https://www.dwds.de/wb/doppelt,Adjektiv,,,0
Dose,https://www.dwds.de/wb/Dose,Substantiv,fem.,die,0
Dreck,https://www.dwds.de/wb/Dreck,Substantiv,mask.,der,0
drehen,https://www.dwds.de/wb/drehen,Verb,,,0
drin,https://www.dwds.de/wb/drin,Pronominaladverb,,,0
Droge,https://www.dwds.de/wb/Droge,Substantiv,fem.,die,0
Drogerie,https://www.dwds.de/wb/Drogerie,Substantiv,fem.,die,0
Druck,https://www.dwds.de/wb/Druck#1,Substantiv,mask.,der,0
durcheinander,https://www.dwds.de/wb/durcheinander,Adverb,,,0
Durchschnitt,https://www.dwds.de/wb/Durchschnitt,Substantiv,mask.,der,0
durchschnittlich,https://www.dwds.de/wb/durchschnittlich,Adjektiv,,,0
durstig,https://www.dwds.de/wb/durstig,Adjektiv,,,0
duzen,https://www.dwds.de/wb/duzen,Verb,,,0
eben,https://www.dwds.de/wb/eben#2,Adverb,,,0
ebenfalls,https://www.dwds.de/wb/ebenfalls,Konjunktion,,,0
ebenso,https://www.dwds.de/wb/ebenso,Adverb,,,0
EC-Karte,https://www.dwds.de/wb/EC-Karte,Substantiv,fem.,die,0
Eck,https://www.dwds.de/wb/Eck,Substantiv,neutr.,das,0
eckig,https://www.dwds.de/wb/eckig,Adjektiv,,,0
Ehe,https://www.dwds.de/wb/Ehe,Substantiv,fem.,die,0
Ehepaar,https://www.dwds.de/wb/Ehepaar,Substantiv,neutr.,das,0
eher,https://www.dwds.de/wb/eher,Komparativ,,,0
ehrlich,https://www.dwds.de/wb/ehrlich,Adjektiv,,,0
eignen,https://www.dwds.de/wb/eignen#1,Verb,,,0
Eile,https://www.dwds.de/wb/Eile,Substantiv,fem.,die,0
eilen,https://www.dwds.de/wb/eilen,Verb,,,0
ein paar,https://www.dwds.de/wb/ein%20paar,Indefinitpronomen,,,0
Einbahnstraße,https://www.dwds.de/wb/Einbahnstra%C3%9Fe,Substantiv,fem.,die,0
einbrechen,https://www.dwds.de/wb/einbrechen,Verb,,,0
Einbrecher,https://www.dwds.de/wb/Einbrecher,Substantiv,mask.,der,0
Einbrecherin,https://www.dwds.de/wb/Einbrecherin,Substantiv,fem.,die,0
Einbruch,https://www.dwds.de/wb/Einbruch,Substantiv,mask.,der,0
eindeutig,https://www.dwds.de/wb/eindeutig,Adjektiv,,,0
Eindruck,https://www.dwds.de/wb/Eindruck,Substantiv,mask.,der,0
einerseits,https://www.dwds.de/wb/einerseits,Adverb,,,0
Einfahrt,https://www.dwds.de/wb/Einfahrt,Substantiv,fem.,die,0
Einfall,https://www.dwds.de/wb/Einfall,Substantiv,mask.,der,0
einfallen,https://www.dwds.de/wb/einfallen,Verb,,,0
Einfluss,https://www.dwds.de/wb/Einfluss,Substantiv,mask.,der,0
einfügen,https://www.dwds.de/wb/einf%C3%BCgen,Verb,,,0
